기록,split,채널1,채널2,band_전대역,band_vlf,band_lf,band_qrs,band_hf,분절수,r_평균,r_중앙,abs_r_평균,abs_r_중앙,abs_r_SD,abs_r_p05,abs_r_p95,진폭비_ch2/ch1
209,train,MLII,V1,0.25601,0.33434,0.53241,0.32465,0.35277,180,0.24751,0.25345,0.26231,0.25601,0.13321,0.05347,0.4714,0.37462
210,train,MLII,V1,0.68876,0.30667,0.82263,0.78055,0.75727,180,-0.63598,-0.68876,0.64086,0.68876,0.16481,0.30322,0.81562,0.51268
212,train,MLII,V1,0.44293,0.408,0.74786,0.55928,0.5072,180,-0.21261,-0.43133,0.38397,0.44293,0.13618,0.10265,0.51059,1.1223
213,train,MLII,V1,0.66147,0.46818,0.61121,0.88364,0.55571,180,-0.65523,-0.66147,0.65523,0.66147,0.08853,0.51971,0.77646,1.04599
214,train,MLII,V1,0.79309,0.3021,0.89984,0.81247,0.24045,180,-0.77307,-0.79309,0.77307,0.79309,0.10056,0.59504,0.88682,0.93448
215,test,MLII,V1,0.23957,0.37963,0.19841,0.53357,0.51172,180,-0.24484,-0.23957,0.24537,0.23957,0.11938,0.0522,0.43782,0.58488
217,train,MLII,V1,0.61264,0.27839,0.76153,0.08677,0.59429,180,0.53683,0.61264,0.54137,0.61264,0.18448,0.1518,0.72616,0.54092
219,val,MLII,V1,0.75736,0.88115,0.79687,0.86978,0.8904,180,0.62619,0.75736,0.64873,0.75736,0.23634,0.14363,0.86693,0.90288
220,test,MLII,V1,0.22585,0.39164,0.20614,0.14174,0.62947,180,0.20841,0.22585,0.21186,0.22585,0.09444,0.03742,0.35043,0.34109
221,train,MLII,V1,0.57237,0.3773,0.71449,0.42805,0.5964,180,-0.5412,-0.57237,0.54381,0.57237,0.13853,0.27586,0.69294,0.62166
222,train,MLII,V1,0.37822,0.37803,0.41806,0.81112,0.58308,180,-0.37646,-0.37822,0.37997,0.37822,0.11165,0.21004,0.54445,1.02528
223,train,MLII,V1,0.46032,0.3919,0.73292,0.37916,0.13091,180,-0.38167,-0.45995,0.41071,0.46032,0.19001,0.0698,0.64398,1.35616
228,train,MLII,V1,0.12838,0.31778,0.14465,0.17826,0.47684,180,-0.07959,-0.04702,0.17,0.12838,0.13619,0.01677,0.44451,1.44082
230,train,MLII,V1,0.75329,0.35131,0.80224,0.85953,0.8337,180,0.74985,0.75329,0.74985,0.75329,0.07789,0.63553,0.87208,0.82306
231,train,MLII,V1,0.63546,0.28015,0.71581,0.80297,0.44106,180,-0.57584,-0.63546,0.57584,0.63546,0.13525,0.3103,0.69937,0.71825
232,train,MLII,V1,0.63404,0.37561,0.81569,0.74458,0.55805,180,-0.5951,-0.63404,0.59608,0.63404,0.14355,0.34411,0.7558,1.04742
233,test,MLII,V1,0.64505,0.40638,0.72383,0.63737,0.56633,180,-0.63114,-0.64505,0.63114,0.64505,0.10907,0.4388,0.77692,0.85849
234,train,MLII,V1,0.64222,0.40981,0.7299,0.85975,0.45257,180,0.60431,0.64222,0.6065,0.64222,0.14743,0.23128,0.75163,0.42539
